Performing Artist,Presenting Organization,Concert Date,Start Time,End Time,Concert Location,Location,Supervisor District,Year,Contact,Contact Info
Street Corner Renaissance,City of Gardena,10/05/2019,1899-12-31T10:00:00.000,1899-12-31T15:00:00.000,Nakaoka Community Center,"1670 West 162nd Street
Gardena, CA 90247
(33.883775, -118.306521)",2,2019,Evette Wedlow Benjamin,
Mestizo Beat,City of San Gabriel,07/25/2019,7:00 PM,8:30 PM,Vincent Lugo Park,"300 W Wells St
San Gabriel, CA 91776
(34.084783, -118.104257)",5,2019,Matthew Morales-Stevens,
Susie Hansen Latin Band,City of Azusa,08/22/2015,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Memorial Park,"320 N Orange Place
Azusa, CA 91702
(34.127075, -117.913564)",4,2015,Joe Jacobs,626-812-5220
Lisa Haley and the Zydekats,Pasadena Senior Center,08/20/2018,1899-12-31T18:00:00.000,1899-12-31T19:00:00.000,Pasadena Senior Center,"85 E Holly Street
Pasadena 91103
(34.147641, -118.148636)",5,2018,,
Jelly of the Month Club,"City of Gardena Recreation, Human Services, Parks and Facilities",10/01/2016,1899-12-31T12:00:00.000,3:00 PM,Nakaoka Community Center,"1670 West 162nd Street
Gardena, CA 90247
(33.883775, -118.306521)",2,2016,Evette Wedlow-Benjamin,310-217-6175
Floyd and the Flyboys,George Lane Park,08/15/2015,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,George Lane Park,"5520 W Avenue
Quartz Hill, CA 93536
(34.645619, -118.227974)",1,2015,Jeff Dorst,661-940-7701
OPA OPA,City of Gardena,10/06/2018,1899-12-31T10:00:00.000,1899-12-31T15:00:00.000,Nakaoka Community Center,"1670 West 162nd Street
Gardena 90247
(33.883775, -118.306521)",2,2018,,
El-Haru Kuroi,Eagle Rock Cultural Association,10/07/2017,8:00 PM,11:00 PM,Center for the Arts Eagle Rock (CFAER),"2225 Colorado Blvd
Los Angeles, CA 90041
(34.139261, -118.214975)",1,2017,Melinda Ann Farrell,323-561-3044 x225
Mariachi Espectacular,City of La Mirada,07/27/2017,6:30 PM,8:30 PM,La Mirada Creek Park,"12021 Santa Gertrudes Avenue
La Mirada, CA 90638
(33.922716, -117.994394)",4,2017,Lisa Montoya,(562) 902-3125
Incendio,Valley Cultural Center,07/06/2019,1899-12-31T19:45:00.000,1899-12-31T21:30:00.000,North Hollywood Recreational Center,"11430 Chandler Blvd
North Hollywood, CA 91601
(34.168115, -118.380569)",3,2019,Nora Ross,
De'Anza,Los Angeles County Department of Parks and Recreation,07/16/2016,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,El Cariso Community Regoinal Park,"13100 Hubbard Street
Sylmar, CA 91342
(34.319383, -118.416865)",3,2016,Sandra Chapman,818-367-5043
Jack's Cats,City of West Hollywood,07/09/2017,5:00 PM,6:30 PM,Kings Road Park,"1000 N Kings Road
West Hollywood, CA 90069
(34.089099, -118.371733)",3,2017,Michael Che,(323) 848-6377
Mariachi Divas,City of Norwalk,08/02/2017,7:00 PM,9:00 PM,City of Norwalk Civic Center Lawn,"12700 Norwalk Blvd
Norwalk, CA 90650
(33.915789, -118.071839)",4,2017,Pati Garcia,(562) 929-5521
Orquesta Charangoa,City of Glendale,08/07/2019,1899-12-31T18:30:00.000,8:30 PM,Verdugo Park,"1621 Canada Blvd
Glendale, CA 91208
(34.17129, -118.229119)",5,2019,Meline Amazaspyan,
Floyd & the Flyboys,Ted Watkins Park,07/20/2017,6:00 PM,9:00 PM,Ted Watkins Memorial Park,"1335 103rd street
LA, CA 90002
(33.94327, -118.251396)",2,2017,Tenesha Ware,323 3573032
Shane Henry,Tree People Inc and Koffeehouse Music,08/07/2016,1899-12-31T20:00:00.000,1899-12-31T23:00:00.000,Tree People S. Mark Taper Foundation Amphitheatre,"12601 Mulholland Drive
Beverly Hills, CA 90210
(34.129406, -118.407439)",3,2016,Jeremy Koff,818-219-6273
Aaron & Jane Music,Walnut Library,09/09/2017,2:00 PM,4:00 PM,Walnut Library,"21155 La Puente Rd
Walnut, CA 91789
(34.025705, -117.843321)",1,2017,Cheryl Lui,(909) 595-0757
Dale Fielder Quartet,Parks & Recreation,07/20/2018,1899-12-31T18:00:00.000,1899-12-31T22:00:00.000,Helen Keller Park,"12521 S Vermont Ave
Los Angeles 90044
(33.918736, -118.291833)",2,2018,,
Boogaloo Assassins,Mortimer and Mimi Levitt Foundation  Inc.,08/17/2019,1899-12-31T20:00:00.000,1899-12-31T21:30:00.000,Levitt Pavilion Los Angeles in MacArthur Park,"2230 W 6th St
Los Angeles, CA 90057
(34.060206, -118.276395)",1,2019,Sharon Yazowski,
Conjunto Jardín,Arcadia County Park,07/14/2016,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Pamela County Park,"2236 Goodall Ave
Duarte, CA 91010
(34.12347, -117.994302)",5,2016,Irving Montenegro,626-821-4619
Street Corner Renaissance,Saybrook Park,07/19/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Saybrook Park,"6250 Northside Dr
Los Angeles, CA 90022
(34.014395, -118.137651)",1,2019,michelle rincon,
Quattro,County of Los Angeles Public Library,09/23/2017,2:00 PM,3:00 PM,Culver City Julian Dixon Library,"4975 Overland Ave
Culver City, CA 90230
(34.007785, -118.396706)",2,2017,Tracy Anderson,(310) 559-1676
Lisa Haley & The Zydekats,Dalton Park- LAC Parks,07/13/2019,1899-12-31T19:30:00.000,1899-12-31T21:00:00.000,Valleydale Park,"5525 N Lark Ellen Ave
Azusa, CA 91702
(34.112219, -117.916433)",1,2019,Angie Calleros,
Louie Cruz Beltran,City of La Puente,07/17/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,La Puente Park,"501 N Glendora Ave
La Puente, CA 91744
(34.026159, -117.951127)",1,2019,Angel Morales,
Yari Moré Latin Band,Lummis Day Community Foundation,06/05/2016,1899-12-31T12:30:00.000,1899-12-31T19:00:00.000,Sycamore Grove Park,"1109 Oneonta Drive
Los Angeles, CA 90065
(34.116402, -118.216058)",1,2016,Jain Sekuler,323-646-8331
Finger Dancers,La Verne Library,07/11/2015,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,La Verne Library,"3640 D St
La Verne, CA 91750
(34.111779, -117.765785)",5,2015,Tom Cornicelli,909-596-1934
Urban Renewal Project,Topanga Community Center,10/15/2017,4:00 PM,7:00 PM,Topanga Community Club (or Topanga Community Center),"1440 N Topanga Canyon Blvd
Topanga, CA 90290
(34.112286, -118.591184)",3,2017,Kelly Rockwell,(424) 202-0920
Jungle Fire,The Madison Project,09/02/2018,1899-12-31T17:45:00.000,1899-12-31T18:45:00.000,The Broad Stage,"1310 11TH STREET
Santa Monica 90401
(34.022883, -118.489818)",3,2018,,
Trio America,Culver City Julian Dixon Library,09/14/2019,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Culver City Julian Dixon Library,"4975 Overland Avenue
Culver City, CA 90230
(34.007785, -118.396706)",2,2019,Laura Frakes,
Maggie McClure,County of Los Angeles Public Library,07/30/2016,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,La Verne Library,"3640 D St
La Verne, CA 91750
(34.111779, -117.765785)",5,2016,Thomas Cornicelli,909-596-1934
Upstream,Public Library,08/09/2018,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,El Camino Real Library,"4264 E Whittier Blvd
East, LA 90023",1,2018,,
Floyd and the Flyboys,Parks & Recreation,07/19/2018,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Ted Watkins Memorial Park,"1335 E 103rd street
Los Angeles 90002
(33.94327, -118.251396)",2,2018,,
Carol Bach y Rita,County of Los Angeles Public Library,08/19/2017,2:00 PM,4:00 PM,La Crescenta Library,"2809 Foothill Blvd
La Crescenta, CA 91214
(34.224587, -118.240654)",5,2017,Marta Wiggins,818-248-5314
Rosalie Elena,Los Angeles County Department of Parks & Recreation,07/26/2019,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Bassett Park,"510 N Vineland Ave
La Puente, CA 91746",1,2019,Ronald Atmore,
Orquesta Charangoa,Los Angeles County Department of Beaches and Harbors,06/23/2019,1899-12-31T13:30:00.000,1899-12-31T15:30:00.000,Burton Chace Park,"13650 Mindanao Way
Marina del Rey, CA 90292
(33.977946, -118.444032)",4,2019,Monica-Sarah Roldan,
Mariachi Espectacular,City of Artesia,07/17/2019,1899-12-31T18:30:00.000,1899-12-31T20:00:00.000,AJ Padelford Park,"11870 169th Street
Artesia, CA 90701
(33.877461, -118.079886)",4,2019,Jose Martinez,
Incendio,"City of Glendale, Community Services and Parks Department",08/03/2016,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Verdugo Park,"1621 Canada Blvd
Glendale, CA 91208
(34.17129, -118.229119)",5,2016,Sevag Garabetian,818-548-3773
Rosalie Elena,Public Library,09/15/2018,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,El Monte Library,"3224 Tyler Avenue
El Monte 91731
(34.067072, -118.035976)",1,2018,,
Kenny Sara & The Sounds of New Orleans,City of Burbank Cultural Arts Commission,09/24/2016,1899-12-31T16:00:00.000,1899-12-31T19:00:00.000,Johnny Carson Park,"4000 South Bob Hope Drive
Burbank, CA 91505",5,2016,Cynthia Pease,818-257-0733
Hodads,County of Los Angeles Dept of Parks and Recreation,08/25/2017,6:00 PM,8:00 PM,Steinmetz Park,"1545 S Stimson Ave
Hacienda Heights Ca, CA 91745
(34.002258, -117.960003)",4,2017,Margaret Trujillo,626-934-7041
Mariachi Divas,City of Montebello,07/21/2016,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Montebello City Park Bandshell,"1600 W Beverly Blvd
Montebello, CA 90640
(34.019499, -118.116669)",1,2016,Janine Andrade,323-887-4556
Big Papa and the TCB,Steinmetz Park,09/17/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Steinmetz Park,"1545 S Stimson Ave
Hacienda Heights, CA 91745
(34.002258, -117.960003)",5,2015,Margaret Trujillo,626-934-7041 or 714-269-6805
Cuñao,18th Street Arts Center,10/14/2017,1:00 PM,4:00 PM,18th Street Arts Center,"1639 18th Street
Santa Monica, CA 90404
(34.023281, -118.477398)",3,2017,Sue Bell Yank,3104533711 ext 104
Floyd and the Flyboys,Parks & Recreation,06/23/2018,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,El Cariso Community Regional Park,"13100 Hubbard Street
Sylmar 91342
(34.319383, -118.416865)",3,2018,,
Susie Hansen Latin Band,City of Cudahy,07/03/2017,4:00 PM,10:00 PM,Cudahy Park,"5220 Santa Ana Street
Cudahy, CA 90201
(33.959696, -118.174641)",1,2017,Victor Santiago,323-773-5143
Orquesta Charangoa,"City of Glendale,Community Services and Parks Dept",08/09/2017,6:30 PM,8:30 PM,Verdugo Park,"1621 Canada Blvd
Glendale, CA 91208
(34.17129, -118.229119)",5,2017,Sevag Garabetian,818-548-3773
"INCA, the Peruvian Ensemble",Lawndale Library,08/06/2016,1899-12-31T13:00:00.000,1899-12-31T14:00:00.000,Lawndale Library,"14615 Burin Avenue
Lawndale, CA 90260
(33.898831, -118.353778)",2,2016,Don Gould,310-676-0178
COASQ,Public Library,09/22/2018,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Agoura Hills Library,"29901 Ladyface Ct
Agoura Hills 91301
(34.144074, -118.775109)",3,2018,,
Finger Dancers,County of Los Angeles Public Library,09/03/2016,2:00 PM,4:00 PM,La Crescenta Library,"2809 Foothill Blvd
La Crescenta, CA 91214
(34.224587, -118.240654)",5,2016,Marta Wiggins,818-248-5314
Susan Hansen Latin Band,Los Angeles County Department of Parks and Recreation,08/02/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Hacienda Heights Community Center,"1234 Valencia Ave
Hacienda Heights, CA 91745
(34.013261, -117.979267)",4,2019,Brian Ceballos,
Jungle Fire,City of West Hollywood,07/22/2018,1899-12-31T17:00:00.000,1899-12-31T18:30:00.000,Plummer Park,"7377 Santa Monica Blvd
West Hollywood 90046
(34.09076, -118.350962)",3,2018,,
Michael Haggins Band,Mona Park,08/02/2019,1899-12-31T18:30:00.000,1899-12-31T21:30:00.000,Mona Park,"2291 E 121st St
Compton, CA 90222
(33.922146, -118.231582)",2,2019,Saul Rodriguez,
City of Angels Saxophone Quartet,County of Los Angeles Public Library,09/16/2017,2:00 PM,3:00 PM,Agoura Hills Library,"29901 Ladyface Ct
Agoura Hills, CA 91301
(34.144074, -118.775109)",3,2017,Nina Hull,818-889-2278
Nancy Sanchez,Sunkist Public Library,07/31/2019,1899-12-31T17:00:00.000,1899-12-31T19:00:00.000,Sunkist Library,"840 N Puente Ave
La Puente, CA 91744
(34.055331, -117.977135)",5,2019,Kimberly Wright,
Susie Hanson Latin Band,City of Torrance,08/12/2018,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,Wilson Park Amphitheatre,"2200 Crenshaw Blvd
Torrance 90503",4,2018,,
City of Angels Saxophone Quartet,County of Los Angeles Public Library - Agoura Hills Library,09/17/2016,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Agoura Hills Library,"29901 Ladyface Court
Agoura Hills, CA 91301
(34.144074, -118.775109)",3,2016,Nina Hull,818-889-2278
OPA OPA,City of La Puente,08/07/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,La Puente Park,"501 N Glendora Ave
La Puente 91744
(34.026159, -117.951127)",1,2018,,
Mariachi Espectacular,Lennox Library,09/16/2017,3:00 PM,4:00 PM,Lennox Library,"4359 Lennox Blvd
Lennox, CA 90304
(33.938198, -118.352104)",2,2017,Jessica Romero,(310) 674-0385
Orquesta Charangoa,City of Glendale,07/08/2015,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Verdugo Park,"1621 Canada Blvd
Glendale, CA 91208
(34.17129, -118.229119)",5,2015,Sevag Garabetian,818-548-3773
Upstream,Public Library,07/14/2018,1899-12-31T14:00:00.000,1899-12-31T15:30:00.000,Los Nietos Library,"8511 Duchess Ave
Whittier 90606
(33.964711, -118.072813)",4,2018,,
LA Bluescasters,South Pasadena Arts Council,09/19/2019,1899-12-31T17:00:00.000,1899-12-31T18:30:00.000,South Pasadena Public Library,"1100 Oxley St
South Pasadena, CA 91030
(34.113709, -118.156261)",5,2019,Howard Spector,
Rosalie Elena,La Verne Library- LAC Libraries,09/12/2019,1899-12-31T18:00:00.000,1899-12-31T19:00:00.000,La Verne Library,"3640 D St
La Verne, CA 91750
(34.111779, -117.765785)",5,2019,Tom Cornicelli,
Upstream,Altadena Library District,10/14/2017,6:30 PM,8:30 PM,Altadena Library,"600 E Mariposa St
Altadena, CA 91001
(34.189559, -118.137033)",5,2017,Mindy Kittay,(626) 798-0833
Cuñao,"City of South Gate, Parks & Recreation Department",07/08/2016,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,South Gate Park,"4900 Southern Ave
South Gate, CA 90280
(33.947235, -118.182894)",1,2016,Armando Ayala,323-357-9636
Oscar Hernandez & Alma Libre,LA County Museum of Art,07/15/2017,5:00 PM,7:00 PM,LA County Museum of Art,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",3,2017,Lauren Samchisen,323.857.6115
Maria del Pilar,Charles White Park,08/07/2015,1899-12-31T18:30:00.000,1899-12-31T19:30:00.000,Charles White Park,"77 Mountain View St
Altadena, CA 91001
(34.187659, -118.152624)",4,2015,Meliza Hernandez,626-398-5451
Conjunto Oye,City of Culver City,08/25/2019,1899-12-31T11:45:00.000,1899-12-31T12:45:00.000,Veterans Memorial Park,"4117 Overland Avenue
Culver City, CA 90230
(34.0134, -118.402106)",2,2019,Susan Obrow,
Upstream,City of Azusa Recreation and Family Services Department,07/13/2017,7:00 PM,9:00 PM,Memorial Park,"320 N Orange Pl
Azusa, CA 91702
(34.127075, -117.913564)",1,2017,Adrian Martinez,(626) 812-5195
Louie Cruz Beltran,COUNTY OF LOS ANGELES DEPARTMENT OF PARKS AND RECREATION,07/19/2019,7:00 PM,9:00 PM,CHARTER OAK PARK,"20261 E COVINA BLVD
COVINA, CA 91724
(34.099424, -117.85835)",5,2019,lIZETTE ANDRADE,
Upstream,Altadena Rotary Charities,07/07/2018,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Farnsworth Park,"568 Mount Curve Ave E
Altadena 91001
(34.201348, -118.1318)",5,2018,,
Yari More Latin Band,City of San Fernando,08/20/2017,6:30 PM,8:30 PM,San Fernando Recreation Park,"208 Park Ave
San Fernando, CA 91340
(34.281019, -118.434699)",3,2017,Virginia Diediker,818-361-7155
Andres Flores y Los Hijos de Jose,County of Los Angeles Public Library - Graham Library,08/07/2016,1899-12-31T16:00:00.000,1899-12-31T17:00:00.000,Graham Library-County of Los Angeles Public Library,"1900 East Firestone Avenue
Los Angeles, CA 90001",2,2016,Gabriela Torres,3235822903
El Haru Kuroi,Self-Help Graphics and Art  INC,11/02/2018,1899-12-31T21:00:00.000,1899-12-31T22:00:00.000,Felicitas and Gonzalo Mendez High School,"1200 Plaza
Los Angeles 90033",1,2018,,
Dawn Norlfeet,L.A. County Department of Parks and Recreation,08/21/2016,1899-12-31T15:00:00.000,1899-12-31T17:00:00.000,Monteith Park,"Monteith Drive
Los Angeles, CA 90043",2,2016,Kevin Murray,323-298-6038
Conjunto Jardin,Bethune Park- LAC Parks,07/11/2019,1899-12-31T18:30:00.000,1899-12-31T20:00:00.000,Bethune Park,"1244 E 61st Street
Los Angeles, CA 90001
(33.98432, -118.253087)",2,2019,Maurice Hunter,
Carolina Hoyos,Campanella Park- LAC Parks,09/28/2019,1899-12-31T15:00:00.000,1899-12-31T16:00:00.000,Campanella Park,"14812 S Stanford Ave
Compton, CA 90220
(33.897956, -118.261015)",2,2019,Craig Newman,
Boogaloo Assassins,Mortimer & Mimi Levitt Foundation,08/05/2017,7:30 PM,9:00 PM,Levitt Pavilion Los Angeles at MacArthur Park,"2230 W 6th St
LA, CA 90057
(34.060206, -118.276395)",1,2017,Sharon Yazowski,(213) 201-6109
Viento Callejero,LAC USC Medical Center Foundation,10/01/2016,1899-12-31T13:00:00.000,1899-12-31T14:30:00.000,LAC USC Medical Center /The Wellness Center,"1200 N State Street
Los Angeles, CA 90033
(34.059872, -118.210308)",1,2016,Rosa Soto,213-784-9252
Incendio,El Monte Library,08/15/2015,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,El Monte Library,"3224 Tyler Avenue
El Monte, CA 91731
(34.067072, -118.035976)",5,2015,Gina Quesenberry,626-444-9506
Cunao,Stephen Sorensen Park,09/05/2015,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Stephen Sorensen Park,"16801 E Avenue
Lake Los Angeles, CA 93591
(34.587212, -117.830297)",3,2015,Jeff Dorst,661-940-7701
Malynda Hale,Parks & Recreation,08/04/2018,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Val Verde Park,"30300 West Arlington st
Val Verde 91384
(34.446789, -118.663978)",5,2018,,
Buyepongo,City of Duarte,07/22/2015,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Duarte Park,"1344 Bloomdale Ave
Duarte, CA 91010
(34.137459, -117.976472)",2,2015,Lupe Valerio,(626)357-7931
Mariachi Espectacular,City of South Gate,07/27/2018,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,South Gate Park,"4900 Southern Ave
South Gate 90280
(33.947235, -118.182894)",1,2018,,
City of Angels Saxophone Quartet,Malibu Library,10/21/2016,3:30 PM,4:30 PM,Malibu Library,"23519 W Civic Center Way
Malibu, CA 90265
(34.036092, -118.690086)",3,2016,Melissa Stallings,310-456-6438
Rosalie Elena,Bell Library,08/13/2019,1899-12-31T17:00:00.000,1899-12-31T17:45:00.000,Bell Library,"4411 E Gage Ave
Bell, CA 90201
(33.97818, -118.1885)",1,2019,Diane Zaher,
Mariachi Divas,City of Duarte,07/27/2016,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Duarte Park,"1344 Bloomdale Ave
Duarte, CA 91010
(34.137459, -117.976472)",5,2016,Lupe Valerio,626-357-7931
Nancy Sanchez,Public Library,09/20/2018,1899-12-31T15:30:00.000,1899-12-31T16:30:00.000,Malibu Library,"23519 Civic Center Way
Malibu 90265
(34.036092, -118.690086)",3,2018,,
Adelaid,City of Bell Gardens - Recreation Department,08/08/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Veterans Park,"6662 Loveland St
Bell Gardens, CA 90262
(33.968584, -118.144002)",1,2019,Oscar Flores,
Mariachi Divas,City of Santa Fe Springs,07/13/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Heritage Park,"12100 Mora Drive
Santa Fe Springs 90670
(33.94069, -118.075293)",4,2018,,
Mestizo Beat,City of San Fernando  Inc.,08/19/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,San Fernando Recreation Park,"208 Park Ave
San Fernando 91340
(34.281019, -118.434699)",3,2018,,
Modal Tease String Band,Malibu Library,08/15/2015,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,Malibu Library,"23519 W Civic Center Way
Malibu, CA 90265
(34.036092, -118.690086)",5,2015,Melissa Stallings,310-456-6438
Orquesta Charangoa,Whittier Narrows Recreation Area,09/18/2015,1899-12-31T18:30:00.000,1899-12-31T21:30:00.000,Whittier Narrows Recreation Area,"750 Santa Anita Ave
South El Monte, CA 91733
(34.036218, -118.054883)",4,2015,David Jallo,626-258-7161
Nichelle Monroe & Butterfly,County of Los Angeles Public Library,08/09/2017,6:30 PM,7:30 PM,La Verne Library,"3640 D St
La Verne, CA 91750
(34.111779, -117.765785)",5,2017,Tom Cornicelli,909-596-1934
Os Zagueiros,County of Los Angeles Dept of Parks and Recreation,07/22/2017,7:00 PM,9:00 PM,Bethune Park,"1244 E 61st Street
LA, CA 90001
(33.98432, -118.253087)",2,2017,Maurice Hunter,(323) 846-1895
Mariachi Divas,County of Los Angeles Dept of Parks and Recreation,07/27/2017,7:00 PM,9:00 PM,City Terrace Park,"1126 N Hazard Ave
Los Angeles, CA 90063
(34.049422, -118.179415)",1,2017,Alice Gonzales,(323)2602371)
The Urban Renewal Project,Los Angeles Choreographers and Dancers Inc.,09/23/2018,1899-12-31T16:15:00.000,1899-12-31T18:15:00.000,area in front of the Battleship IOWA,"250 S Harbor Blvd
San Pedro 90731
(33.742216, -118.279578)",4,2018,,
Cuicani,Los Nietos Library,09/21/2019,2:00 PM,1899-12-31T15:00:00.000,Los Nietos Library,"8511 Duchess Dr
Whittier, CA 90606
(33.964711, -118.072813)",4,2019,Theresa Cazares,
Sgt. Pepper,City of Sierra Madre,07/19/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Memorial Park,"222 W Sierra Madre Blvd
Sierra Madre, CA 91024
(34.161867, -118.0573)",4,2015,Adam Matsumoto,626-355-7135 ext 703
Susie Hanson Latin Band,LA County Depart. of Parks and Recreation,07/18/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Ruben Salazar Park,"3684 Whittier Blvd
Los Angeles, CA 90023
(34.024745, -118.194077)",1,2019,Estella Rios,
Mahadev,County of Los Angeles Public Library - Topanga Library,08/27/2016,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,Topanga Library,"122 N Topanga Canyon Blvd
Topanga, CA 90290
(34.090139, -118.604016)",3,2016,Oleg Kagan,310-455-3480
Masanga Marimba,City of Agoura Hills`,10/13/2018,1899-12-31T12:30:00.000,1899-12-31T14:00:00.000,Reyes Adobe Park,"31400 Rainbow Crest Drive
Agoura Hills 91301",3,2018,,
Mariachi Espectacular,La County Dept. of Parks & Recreation,07/12/2019,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Sunshine Park,"515 Deepmead Ave
La Puente, CA 91744
(34.009756, -117.900446)",1,2019,Angelica Prado,
Buyepongo,Amelia Mayberry  Park,08/04/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Amelia Mayberry Park,"13201 E Meyer Rd
Whittier, CA 90605
(33.929237, -118.051323)",4,2015,Marisela Mena,562-944-9727
The Dave Stephens Band,Public Library,10/06/2018,1899-12-31T15:00:00.000,1899-12-31T16:00:00.000,La Mirada Library,"13800 La Mirada Blvd
La Mirada 90638
(33.905549, -118.011744)",4,2018,,
Sista Jean & CB,Artesia Library,07/01/2017,2:00 PM,3:00 PM,"Artesia Library, County of Los Angeles Public Library","18722 Clarkdale Avenue
Artesia, CA 90701
(33.860974, -118.079696)",4,2017,Barbara Nightingale,(562) 865-6614
Yari More Latin Band,City of West Covina,07/16/2015,1899-12-31T19:00:00.000,1899-12-31T21:30:00.000,West Covina Civic Center,"1444 West Garvey Avenue
West Covina, CA 91790",1,2015,Monica Farian,626-290-6151
Gloria Arjona,Sorensen Library,10/06/2015,1899-12-31T15:00:00.000,1899-12-31T16:00:00.000,Sorensen Library,"6934 Broadway Ave
Whittier, CA 90606
(33.979664, -118.062738)",1,2015,Muoy Li,562-695-3979
Nichelle Monroe & Butterfly,County of Los Angeles Dept of Parks and Recreation,07/22/2017,1:00 PM,3:00 PM,Ladrea Park,"6027 Ladera park Ave
Los Angeles, CA 90056
(33.986337, -118.358882)",2,2017,Melvin Pinkney,310) 603-8307
Mariachi Divas,City of South Gate,07/26/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,South Gate Park,"4900 Southern Ave
South Gate, CA 90280
(33.947235, -118.182894)",1,2019,Armando Ayala,
Nichelle Monroe & Butterfly,Public Library,08/25/2018,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Sorensen Library,"6934 Broadway Ave
Whittier 90606
(33.979664, -118.062738)",4,2018,,
Mariachi Divas,City of Agoura Hills,10/12/2019,1899-12-31T12:30:00.000,1899-12-31T14:00:00.000,Reyes Adobe Park,"31400 Rainbow Crest Drive
Agoura Hills, CA 91301",3,2019,Amy Brink,
De'Anza,Moonlight Fishing,09/30/2016,1899-12-31T19:00:00.000,1899-12-31T22:00:00.000,Santa Fe Dam Recreation Area,"15501 E Arrow Hwy
Irwindale, CA 91706
(34.107132, -117.943796)",1,2016,Shelia Burns,626-334-1065
Jason Arimoto,USC Pacific Asia Museum,08/09/2015,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,USC Pacific Asia Museum,"46 N Los Robles Ave
Pasadena, CA 91101
(34.146741, -118.141447)",5,2015,Sandra Chen Lau,626-449-2742
Allensworth,Mortimer and Mimi Levitt Foundation  Inc.,06/22/2018,1899-12-31T20:00:00.000,1899-12-31T21:30:00.000,Levitt Pavilion Los Angeles in MacArthur Park,"W S 6th Street
Los Angeles 90057",1,2018,,
"INCA, the Peruvian Ensemble",Rosemead Library,09/23/2017,2:00 PM,3:00 PM,Rosemead Library,"8800 Valley Blvd
Rosemead, CA 91770
(34.080694, -118.077092)",1,2017,Steve Smith,(626) 573-5222
Blue Breeze Band,Altadena Rotary Charities,07/13/2019,7:00 PM,9:00 PM,Farnsworth Park,"568 Mount Curve Ave E
Altadena, CA 91001
(34.201348, -118.1318)",5,2019,Craig Cox,
Brasil Brazil,County of Los Angeles Public Library - Norwalk Library,07/30/2016,1:00 PM,2:00 PM,Norwalk Library,"12350 Imperial Hwy
Norwalk, CA 90650
(33.917078, -118.069236)",4,2016,Andrea Crow,562-868-0775
Michael Haggins Band,Don Knabe Regional Park LAC Parks,07/13/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Victoria Community Regional Park,"419 E MLK JR St
Carson, CA 90746",4,2019,Angel Baltazar,
"Mark ""Pocket"" Goldberg",Los Angeles County Department of Parks and Recreation,07/16/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,George Lane Park,"5520 W Avenue
Quartz Hill, CA 93536
(34.645619, -118.227974)",5,2016,Jeff Dorst,661-940-7701
